STATION,NAME,DATE,AWND,PRCP,TAVG,TMAX,TMIN,TOBS,WDF2,WDF5,WSF2,WSF5
USC00081306,"CAPE FLORIDA, FL US",02/18/22,,0,77,82,72,75,,294,,
USC00081306,"CAPE FLORIDA, FL US",02/19/22,,0,78,85,71,74,,121,,
USC00081306,"CAPE FLORIDA, FL US",02/20/22,,1.03,76.5,82,71,74,,212,,
USC00081306,"CAPE FLORIDA, FL US",02/21/22,,0.01,77,80,74,75,,36,,
USC00081306,"CAPE FLORIDA, FL US",02/22/22,,0,77.5,81,74,76,,158,,
USC00081306,"CAPE FLORIDA, FL US",02/23/22,,0,79,83,75,77,,242,,
USC00081306,"CAPE FLORIDA, FL US",02/24/22,,0,79,83,75,77,,299,,
USC00081306,"CAPE FLORIDA, FL US",02/25/22,,0,79,83,75,77,,350,,
USC00081306,"CAPE FLORIDA, FL US",02/26/22,,0,79,83,75,77,,322,,
USC00081306,"CAPE FLORIDA, FL US",02/27/22,,0,78.5,82,75,78,,222,,
USC00081306,"CAPE FLORIDA, FL US",02/28/22,,0,77.5,85,70,74,,23,,
USC00081306,"CAPE FLORIDA, FL US",03/01/22,,0,75,83,67,69,,111,,
USC00081306,"CAPE FLORIDA, FL US",03/02/22,,0.25,73.5,81,66,67,,301,,
USC00081306,"CAPE FLORIDA, FL US",03/03/22,,0.17,73.5,81,66,76,,251,,
USC00081306,"CAPE FLORIDA, FL US",03/04/22,,0,78,82,74,77,,19,,
USC00081306,"CAPE FLORIDA, FL US",03/05/22,,0,79,83,75,77,,212,,
USC00081306,"CAPE FLORIDA, FL US",03/06/22,,0,79,82,76,78,,340,,
USC00081306,"CAPE FLORIDA, FL US",03/07/22,,0,79,82,76,77,,45,,
USC00081306,"CAPE FLORIDA, FL US",03/08/22,,0.27,79.5,84,75,79,,189,,
USC00081306,"CAPE FLORIDA, FL US",03/09/22,,0,82,86,78,80,,23,,
USC00081306,"CAPE FLORIDA, FL US",03/10/22,,0,82.5,87,78,80,,263,,
USC00081306,"CAPE FLORIDA, FL US",03/11/22,,0,80.5,87,74,81,,258,,
USC00081306,"CAPE FLORIDA, FL US",03/12/22,,0,83.5,88,79,81,,75,,
USC00081306,"CAPE FLORIDA, FL US",03/13/22,,0,71.5,89,54,54,,302,,
USC00081306,"CAPE FLORIDA, FL US",03/14/22,,0,65,76,54,72,,154,,
USC00081306,"CAPE FLORIDA, FL US",03/15/22,,0.22,73.5,76,71,74,,147,,
USC00081306,"CAPE FLORIDA, FL US",03/16/22,,0.15,77.5,82,73,77,,360,,
USC00081306,"CAPE FLORIDA, FL US",03/17/22,,0,79.5,87,72,74,,247,,
USC00081306,"CAPE FLORIDA, FL US",03/18/22,,0,79,87,71,77,,138,,
USC00081306,"CAPE FLORIDA, FL US",03/19/22,,0,82,87,77,79,,13,,
USC00081306,"CAPE FLORIDA, FL US",03/20/22,,0.35,79,87,71,71,,145,,
USC00081306,"CAPE FLORIDA, FL US",03/21/22,,0,77.5,84,71,76,,228,,
USC00081306,"CAPE FLORIDA, FL US",03/22/22,,0,78,81,75,75,,318,,
USC00081306,"CAPE FLORIDA, FL US",03/23/22,,0,79,83,75,78,,80,,
USC00081306,"CAPE FLORIDA, FL US",03/24/22,,0,82.5,87,78,80,,337,,
USC00081306,"CAPE FLORIDA, FL US",03/25/22,,1.1,78,88,68,68,,164,,
USC00081306,"CAPE FLORIDA, FL US",03/26/22,,0,71,81,61,65,,163,,
USC00081306,"CAPE FLORIDA, FL US",03/27/22,,0,70,79,61,64,,234,,
USC00081306,"CAPE FLORIDA, FL US",03/28/22,,0,69.5,82,57,59,,246,,
USC00081306,"CAPE FLORIDA, FL US",03/29/22,,0,70,81,59,61,,225,,
USC00081306,"CAPE FLORIDA, FL US",03/30/22,,0,72,83,61,77,,99,,
USC00081306,"CAPE FLORIDA, FL US",03/31/22,,0,80,83,77,78,,328,,
USC00081306,"CAPE FLORIDA, FL US",04/01/22,,0,81.5,85,78,79,,206,,
USC00081306,"CAPE FLORIDA, FL US",04/02/22,,0,82,88,76,79,,154,,
USC00081306,"CAPE FLORIDA, FL US",04/03/22,,0.03,79.5,87,72,76,,86,,
USC00081306,"CAPE FLORIDA, FL US",04/04/22,,0.49,79.5,85,74,79,,201,,
USC00081306,"CAPE FLORIDA, FL US",04/05/22,,0.25,80.5,84,77,81,,290,,
USC00081306,"CAPE FLORIDA, FL US",04/06/22,,0,83.5,87,80,81,,173,,
USC00081306,"CAPE FLORIDA, FL US",04/07/22,,0,84.5,89,80,82,,289,,
USC00081306,"CAPE FLORIDA, FL US",04/08/22,,0.13,80.5,89,72,72,,247,,
USC00081306,"CAPE FLORIDA, FL US",04/09/22,,0,71.5,83,60,64,,3,,
USC00081306,"CAPE FLORIDA, FL US",04/10/22,,0,68.5,81,56,59,,213,,
USC00081306,"CAPE FLORIDA, FL US",04/11/22,,0,69.5,80,59,73,,52,,
USC00081306,"CAPE FLORIDA, FL US",04/12/22,,0,76.5,80,73,75,,213,,
USC00081306,"CAPE FLORIDA, FL US",04/13/22,,0,78.5,82,75,77,,355,,
USC00081306,"CAPE FLORIDA, FL US",04/14/22,,0,80.5,84,77,78,,286,,
USC00081306,"CAPE FLORIDA, FL US",04/15/22,,0.18,81.5,87,76,79,,285,,
USC00081306,"CAPE FLORIDA, FL US",04/16/22,,1.51,80.5,87,74,78,,202,,
USC00081306,"CAPE FLORIDA, FL US",04/17/22,,0.01,80.5,85,76,80,,204,,
USC00081306,"CAPE FLORIDA, FL US",04/18/22,,0.01,81,85,77,80,,183,,
USC00081306,"CAPE FLORIDA, FL US",04/19/22,,0,79.5,86,73,75,,342,,
USC00081306,"CAPE FLORIDA, FL US",04/20/22,,0,81,87,75,78,,248,,
USC00081306,"CAPE FLORIDA, FL US",04/21/22,,0,79.5,83,76,78,,171,,
USC00081306,"CAPE FLORIDA, FL US",04/22/22,,0.16,78,83,73,77,,202,,
USC00081306,"CAPE FLORIDA, FL US",04/23/22,,0.35,78,83,73,77,,37,,
USC00081306,"CAPE FLORIDA, FL US",04/24/22,,0,79.5,83,76,78,,201,,
USC00081306,"CAPE FLORIDA, FL US",04/25/22,,0,80.5,84,77,78,,132,,
USC00081306,"CAPE FLORIDA, FL US",04/26/22,,0,80,84,76,79,,14,,
USC00081306,"CAPE FLORIDA, FL US",04/27/22,,0,80,83,77,79,,220,,
USC00081306,"CAPE FLORIDA, FL US",04/28/22,,0,77.5,85,70,76,,123,,
USC00081306,"CAPE FLORIDA, FL US",04/29/22,,0.05,78.5,86,71,78,,335,,
USC00081306,"CAPE FLORIDA, FL US",04/30/22,,1.15,77.5,84,71,71,,57,,
USC00081306,"CAPE FLORIDA, FL US",05/01/22,,0.09,78,85,71,78,,61,,
USC00081306,"CAPE FLORIDA, FL US",05/02/22,,0.01,81,84,78,81,,60,,
USC00081306,"CAPE FLORIDA, FL US",05/03/22,,0,82,85,79,80,,83,,
USC00081306,"CAPE FLORIDA, FL US",05/04/22,,0.01,79,85,73,78,,35,,
USC00081306,"CAPE FLORIDA, FL US",05/05/22,,0.71,78.5,87,70,75,,68,,
USC00081306,"CAPE FLORIDA, FL US",05/06/22,,0.07,81.5,88,75,80,,237,,
USC00081306,"CAPE FLORIDA, FL US",05/07/22,,0,84.5,89,80,82,,226,,
USC00081306,"CAPE FLORIDA, FL US",05/08/22,,0,84.5,92,77,81,,288,,
USC00081306,"CAPE FLORIDA, FL US",05/09/22,,0.56,81,91,71,76,,208,,
USC00081306,"CAPE FLORIDA, FL US",05/10/22,,0,81.5,87,76,77,,87,,
USC00081306,"CAPE FLORIDA, FL US",05/11/22,,0,76.5,84,69,72,,276,,
USC00081306,"CAPE FLORIDA, FL US",05/12/22,,0,78,86,70,72,,99,,
USC00081306,"CAPE FLORIDA, FL US",05/13/22,,0.02,75.5,83,68,72,,321,,
USC00081306,"CAPE FLORIDA, FL US",05/14/22,,0.13,79,86,72,76,,270,,
USC00081306,"CAPE FLORIDA, FL US",05/15/22,,0.03,80,87,73,75,,357,,
USC00081306,"CAPE FLORIDA, FL US",05/16/22,,0,81,87,75,77,,349,,
USC00081306,"CAPE FLORIDA, FL US",05/17/22,,0.06,81,88,74,78,,58,,
USC00081306,"CAPE FLORIDA, FL US",05/18/22,,0,80.5,87,74,79,,271,,
USC00081306,"CAPE FLORIDA, FL US",05/19/22,,0,82.5,88,77,82,,328,,
USC00081306,"CAPE FLORIDA, FL US",05/20/22,,1.28,81,89,73,83,,129,,
USC00081306,"CAPE FLORIDA, FL US",05/21/22,,0,84.5,91,78,83,,73,,
USC00081306,"CAPE FLORIDA, FL US",05/22/22,,0,85.5,89,82,83,,140,,
USC00081306,"CAPE FLORIDA, FL US",05/23/22,,0,85.5,89,82,84,,146,,
USC00081306,"CAPE FLORIDA, FL US",05/24/22,,0,84.5,89,80,83,,309,,
USC00081306,"CAPE FLORIDA, FL US",05/25/22,,0,84.5,88,81,83,,307,,
USC00081306,"CAPE FLORIDA, FL US",05/26/22,,0,84.5,88,81,83,,304,,
USC00081306,"CAPE FLORIDA, FL US",05/27/22,,0,83.5,87,80,84,,186,,
USC00081306,"CAPE FLORIDA, FL US",05/28/22,,0.13,82,90,74,79,,155,,
USC00081306,"CAPE FLORIDA, FL US",05/29/22,,0,81,89,73,82,,233,,
USC00081306,"CAPE FLORIDA, FL US",05/30/22,,2.54,81.5,90,73,73,,274,,
USC00081306,"CAPE FLORIDA, FL US",05/31/22,,0.14,80,87,73,79,,319,,
USC00081306,"CAPE FLORIDA, FL US",06/01/22,,0.01,80.5,86,75,79,,302,,
USC00081306,"CAPE FLORIDA, FL US",06/02/22,,0,81.5,89,74,80,,352,,
USC00081306,"CAPE FLORIDA, FL US",06/03/22,,0.5,80.5,88,73,78,,341,,
USC00081306,"CAPE FLORIDA, FL US",06/04/22,,8.71,77,79,75,78,,158,,
USC00081306,"CAPE FLORIDA, FL US",06/05/22,,0.9,80.5,86,75,79,,242,,
USC00081306,"CAPE FLORIDA, FL US",06/06/22,,0,82,88,76,82,,217,,
USC00081306,"CAPE FLORIDA, FL US",06/07/22,,0.66,81,88,74,78,,48,,
USC00081306,"CAPE FLORIDA, FL US",06/08/22,,0.15,80,88,72,77,,185,,
USC00081306,"CAPE FLORIDA, FL US",06/09/22,,1.16,80.5,90,71,80,,135,,
USC00081306,"CAPE FLORIDA, FL US",06/10/22,,0,82.5,90,75,81,,18,,
USC00081306,"CAPE FLORIDA, FL US",06/11/22,,0.01,82,90,74,78,,320,,
USC00081306,"CAPE FLORIDA, FL US",06/12/22,,0,84,90,78,85,,267,,
USC00081306,"CAPE FLORIDA, FL US",06/13/22,,0,85,92,78,84,,225,,
USC00081306,"CAPE FLORIDA, FL US",06/14/22,,0.01,85,91,79,84,,142,,
USC00081306,"CAPE FLORIDA, FL US",06/15/22,,0,86.5,90,83,85,,320,,
USC00081306,"CAPE FLORIDA, FL US",06/16/22,,0,86.5,90,83,86,,296,,
USC00081306,"CAPE FLORIDA, FL US",06/17/22,,0.1,82.5,90,75,76,,322,,
USC00081306,"CAPE FLORIDA, FL US",06/18/22,,0,83.5,91,76,81,,219,,
USC00081306,"CAPE FLORIDA, FL US",06/19/22,,0,84,90,78,82,,139,,
USC00081306,"CAPE FLORIDA, FL US",06/20/22,,0,86,92,80,84,,16,,
USC00081306,"CAPE FLORIDA, FL US",06/21/22,,0,84.5,90,79,85,,282,,
USC00081306,"CAPE FLORIDA, FL US",06/22/22,,0.26,84.5,90,79,83,,170,,
USC00081306,"CAPE FLORIDA, FL US",06/23/22,,0.01,80.5,88,73,80,,316,,
USC00081306,"CAPE FLORIDA, FL US",06/24/22,,0,84.5,89,80,84,,235,,
USC00081306,"CAPE FLORIDA, FL US",06/25/22,,0,86.5,91,82,83,,80,,
USC00081306,"CAPE FLORIDA, FL US",06/26/22,,0,85,93,77,82,,101,,
USC00081306,"CAPE FLORIDA, FL US",06/27/22,,0,84,91,77,85,,327,,
USC00081306,"CAPE FLORIDA, FL US",06/28/22,,0,86.5,90,83,83,,36,,
USC00081306,"CAPE FLORIDA, FL US",06/29/22,,0,83.5,90,77,82,,225,,
USC00081306,"CAPE FLORIDA, FL US",06/30/22,,0,87,92,82,87,,293,,
USC00081306,"CAPE FLORIDA, FL US",07/01/22,,0.02,87.5,91,84,86,,161,,
USC00081306,"CAPE FLORIDA, FL US",07/02/22,,0,87,91,83,86,,7,,
USC00081306,"CAPE FLORIDA, FL US",07/03/22,,0.18,85.5,92,79,82,,139,,
USC00081306,"CAPE FLORIDA, FL US",07/04/22,,0.01,86,90,82,87,,125,,
USC00081306,"CAPE FLORIDA, FL US",07/05/22,,0,87.5,91,84,87,,3,,
USC00081306,"CAPE FLORIDA, FL US",07/06/22,,0.08,85,91,79,80,,284,,
USC00081306,"CAPE FLORIDA, FL US",07/07/22,,0.23,85,90,80,86,,57,,
USC00081306,"CAPE FLORIDA, FL US",07/08/22,,0,87,91,83,86,,28,,
USC00081306,"CAPE FLORIDA, FL US",07/09/22,,0,87,92,82,85,,300,,
USC00081306,"CAPE FLORIDA, FL US",07/10/22,,0,88.5,93,84,87,,160,,
USC00081306,"CAPE FLORIDA, FL US",07/11/22,,0.08,87,92,82,87,,170,,
USC00081306,"CAPE FLORIDA, FL US",07/12/22,,0.02,86.5,94,79,85,,216,,
USC00081306,"CAPE FLORIDA, FL US",07/13/22,,0,89.5,94,85,88,,46,,
USC00081306,"CAPE FLORIDA, FL US",07/14/22,,0.27,85,94,76,84,,210,,
USC00081306,"CAPE FLORIDA, FL US",07/15/22,,0,86.5,92,81,86,,60,,
USC00081306,"CAPE FLORIDA, FL US",07/16/22,,0,85,88,82,86,,169,,
USC00081306,"CAPE FLORIDA, FL US",07/17/22,,0.23,85.5,93,78,83,,12,,
USC00081306,"CAPE FLORIDA, FL US",07/18/22,,0,87.5,92,83,87,,113,,
USC00081306,"CAPE FLORIDA, FL US",07/19/22,,0.14,87,92,82,86,,2,,
USC00081306,"CAPE FLORIDA, FL US",07/20/22,,0,88.5,92,85,87,,341,,
USC00081306,"CAPE FLORIDA, FL US",07/21/22,,0,88.5,92,85,85,,126,,
USC00081306,"CAPE FLORIDA, FL US",07/22/22,,0.14,85,92,78,81,,125,,
USC00081306,"CAPE FLORIDA, FL US",07/23/22,,0,86.5,92,81,86,,199,,
USC00081306,"CAPE FLORIDA, FL US",07/24/22,,0,88.5,92,85,86,,239,,
USC00081306,"CAPE FLORIDA, FL US",07/25/22,,0.06,86.5,92,81,86,,106,,
USC00081306,"CAPE FLORIDA, FL US",07/26/22,,0.55,83.5,91,76,83,,65,,
USC00081306,"CAPE FLORIDA, FL US",07/27/22,,2.34,82,89,75,85,,305,,
USC00081306,"CAPE FLORIDA, FL US",07/28/22,,0,87,91,83,85,,5,,
USC00081306,"CAPE FLORIDA, FL US",07/29/22,,0,87.5,91,84,85,,212,,
USC00081306,"CAPE FLORIDA, FL US",07/30/22,,0.06,85.5,91,80,86,,61,,
USC00081306,"CAPE FLORIDA, FL US",07/31/22,,0,87,91,83,86,,78,,
USC00081306,"CAPE FLORIDA, FL US",08/01/22,,0,88,91,85,86,,178,,
USC00081306,"CAPE FLORIDA, FL US",08/02/22,,0,87.5,91,84,86,,271,,
USC00081306,"CAPE FLORIDA, FL US",08/03/22,,0,86,91,81,85,,240,,
USC00081306,"CAPE FLORIDA, FL US",08/04/22,,0,87,91,83,84,,90,,
USC00081306,"CAPE FLORIDA, FL US",08/05/22,,0.06,85.5,91,80,83,,226,,
USC00081306,"CAPE FLORIDA, FL US",08/06/22,,0,87,91,83,85,,357,,
USC00081306,"CAPE FLORIDA, FL US",08/07/22,,0.01,86.5,91,82,85,,240,,
USC00081306,"CAPE FLORIDA, FL US",08/08/22,,0.04,87.5,91,84,84,,75,,
USC00081306,"CAPE FLORIDA, FL US",08/09/22,,0.14,86.5,92,81,85,,195,,
USC00081306,"CAPE FLORIDA, FL US",08/10/22,,0,88.5,92,85,86,,238,,
USC00081306,"CAPE FLORIDA, FL US",08/11/22,,0,88,92,84,85,,155,,
USC00081306,"CAPE FLORIDA, FL US",08/12/22,,0,87.5,91,84,86,,259,,
USC00081306,"CAPE FLORIDA, FL US",08/13/22,,0,86.5,91,82,83,,270,,
USC00081306,"CAPE FLORIDA, FL US",08/14/22,,0,83.5,92,75,81,,359,,
USC00081306,"CAPE FLORIDA, FL US",08/15/22,,0,84,93,75,79,,65,,
USC00081306,"CAPE FLORIDA, FL US",08/16/22,,0,85,93,77,82,,262,,
USC00081306,"CAPE FLORIDA, FL US",08/17/22,,0,88,95,81,85,,228,,
USC00081306,"CAPE FLORIDA, FL US",08/18/22,,0,87.5,96,79,84,,180,,
USC00081306,"CAPE FLORIDA, FL US",08/19/22,,0,88.5,95,82,86,,318,,
USC00081306,"CAPE FLORIDA, FL US",08/20/22,,0,89.5,93,86,88,,32,,
USC00081306,"CAPE FLORIDA, FL US",08/21/22,,0.4,87.5,94,81,86,,119,,
USC00081306,"CAPE FLORIDA, FL US",08/22/22,,0.01,88.5,93,84,87,,58,,
USC00081306,"CAPE FLORIDA, FL US",08/23/22,,0,88,92,84,87,,352,,
USC00081306,"CAPE FLORIDA, FL US",08/24/22,,0,87.5,93,82,88,,303,,
USC00081306,"CAPE FLORIDA, FL US",08/25/22,,0,88.5,93,84,88,,266,,
USC00081306,"CAPE FLORIDA, FL US",08/26/22,,0,87.5,94,81,86,,18,,
USC00081306,"CAPE FLORIDA, FL US",08/27/22,,0,86,94,78,79,,321,,
USC00081306,"CAPE FLORIDA, FL US",08/28/22,,0,85,91,79,86,,282,,
USC00081306,"CAPE FLORIDA, FL US",08/29/22,,0.15,85,90,80,80,,183,,
USC00081306,"CAPE FLORIDA, FL US",08/30/22,,0.01,86,92,80,87,,222,,
USC00081306,"CAPE FLORIDA, FL US",08/31/22,,0,86.5,94,79,82,,144,,
USC00081306,"CAPE FLORIDA, FL US",09/01/22,,0.3,84.5,93,76,79,,222,,
USC00081306,"CAPE FLORIDA, FL US",09/02/22,,0,84.5,93,76,84,,226,,
USC00081306,"CAPE FLORIDA, FL US",09/03/22,,0.15,85.5,93,78,81,,210,,
USC00081306,"CAPE FLORIDA, FL US",09/04/22,,0.12,85,92,78,86,,307,,
USC00081306,"CAPE FLORIDA, FL US",09/05/22,,0.02,87,93,81,82,,197,,
USC00081306,"CAPE FLORIDA, FL US",09/06/22,,0,86.5,92,81,84,,151,,
USC00081306,"CAPE FLORIDA, FL US",09/07/22,,0.22,86.5,93,80,82,,342,,
USC00081306,"CAPE FLORIDA, FL US",09/08/22,,0,86.5,93,80,84,,282,,
USC00081306,"CAPE FLORIDA, FL US",09/09/22,,0.51,85,94,76,85,,184,,
USC00081306,"CAPE FLORIDA, FL US",09/10/22,,0,89,94,84,88,,353,,
USC00081306,"CAPE FLORIDA, FL US",09/11/22,,0,88,95,81,86,,287,,
USC00081306,"CAPE FLORIDA, FL US",09/12/22,,0,85,94,76,79,,269,,
USC00081306,"CAPE FLORIDA, FL US",09/13/22,,0,85.5,93,78,80,,1,,
USC00081306,"CAPE FLORIDA, FL US",09/14/22,,0.02,85,93,77,82,,355,,
USC00081306,"CAPE FLORIDA, FL US",09/15/22,,1.05,85,93,77,81,,115,,
USC00081306,"CAPE FLORIDA, FL US",09/16/22,,1.11,84,92,76,81,,135,,
USC00081306,"CAPE FLORIDA, FL US",09/17/22,,0,86,91,81,87,,281,,
USC00081306,"CAPE FLORIDA, FL US",09/18/22,,0.62,84,92,76,79,,289,,
USC00081306,"CAPE FLORIDA, FL US",09/19/22,,0,83.5,90,77,79,,355,,
USC00081306,"CAPE FLORIDA, FL US",09/20/22,,0.16,84,89,79,82,,299,,
USC00081306,"CAPE FLORIDA, FL US",09/21/22,,0.04,84.5,91,78,80,,36,,
USC00081306,"CAPE FLORIDA, FL US",09/22/22,,0.03,86,93,79,80,,101,,
USC00081306,"CAPE FLORIDA, FL US",09/23/22,,0.54,84,93,75,78,,96,,
USC00081306,"CAPE FLORIDA, FL US",09/24/22,,0,84,93,75,78,,12,,
USC00081306,"CAPE FLORIDA, FL US",09/25/22,,0.01,84.5,91,78,79,,98,,
USC00081306,"CAPE FLORIDA, FL US",09/26/22,,0,85.5,92,79,80,,266,,
USC00081306,"CAPE FLORIDA, FL US",09/27/22,,2.5,83.5,90,77,80,,98,,
USC00081306,"CAPE FLORIDA, FL US",09/28/22,,3.16,82,86,78,84,,148,,
USC00081306,"CAPE FLORIDA, FL US",09/29/22,,0.12,83.5,87,80,80,,269,,
USC00081306,"CAPE FLORIDA, FL US",09/30/22,,0,78,86,70,70,,304,,
USC00081306,"CAPE FLORIDA, FL US",10/01/22,,0,76.5,83,70,76,,294,,
USC00081306,"CAPE FLORIDA, FL US",10/02/22,,0.68,81,87,75,76,,97,,
USC00081306,"CAPE FLORIDA, FL US",10/03/22,,0,80.5,87,74,75,,288,,
USC00081306,"CAPE FLORIDA, FL US",10/04/22,,0.11,81.5,89,74,74,,139,,
USC00081306,"CAPE FLORIDA, FL US",10/05/22,,0,80.5,88,73,74,,60,,
USC00081306,"CAPE FLORIDA, FL US",10/06/22,,0,81.5,89,74,79,,253,,
USC00081306,"CAPE FLORIDA, FL US",10/07/22,,0,83,89,77,77,,307,,
USC00081306,"CAPE FLORIDA, FL US",10/08/22,,0,82.5,89,76,78,,292,,
USC00081306,"CAPE FLORIDA, FL US",10/09/22,,0.05,84,90,78,82,,96,,
USC00081306,"CAPE FLORIDA, FL US",10/10/22,,0.96,83,88,78,81,,174,,
USC00081306,"CAPE FLORIDA, FL US",10/11/22,,0.01,85,89,81,84,,254,,
USC00081306,"CAPE FLORIDA, FL US",10/12/22,,0,86.5,90,83,84,,45,,
USC00081306,"CAPE FLORIDA, FL US",10/13/22,,0,86.5,90,83,84,,349,,
USC00081306,"CAPE FLORIDA, FL US",10/14/22,,1.34,83.5,92,75,77,,43,,
USC00081306,"CAPE FLORIDA, FL US",10/15/22,,0,82,87,77,82,,55,,
USC00081306,"CAPE FLORIDA, FL US",10/16/22,,0,86,91,81,83,,163,,
USC00081306,"CAPE FLORIDA, FL US",10/17/22,,0,85,89,81,82,,22,,
USC00081306,"CAPE FLORIDA, FL US",10/18/22,,0.03,85,91,79,79,,167,,
USC00081306,"CAPE FLORIDA, FL US",10/19/22,,0,80.5,89,72,72,,76,,
USC00081306,"CAPE FLORIDA, FL US",10/20/22,,0.07,67.5,72,63,66,,303,,
USC00081306,"CAPE FLORIDA, FL US",10/21/22,,0,73.5,81,66,70,,106,,
USC00081306,"CAPE FLORIDA, FL US",10/22/22,,0.12,76.5,83,70,71,,317,,
USC00081306,"CAPE FLORIDA, FL US",10/23/22,,0,77,86,68,69,,9,,
USC00081306,"CAPE FLORIDA, FL US",10/24/22,,0,78.5,88,69,74,,151,,
USC00081306,"CAPE FLORIDA, FL US",10/25/22,,0,80.5,87,74,76,,167,,
USC00081306,"CAPE FLORIDA, FL US",10/26/22,,0,77.5,87,68,69,,333,,
USC00081306,"CAPE FLORIDA, FL US",10/27/22,,0,77.5,87,68,69,,209,,
USC00081306,"CAPE FLORIDA, FL US",10/28/22,,0,77.5,86,69,77,,131,,
USC00081306,"CAPE FLORIDA, FL US",10/29/22,,0.06,83,89,77,77,,331,,
